Pango.lineage	APES	Collection.date	APESS	APESS.
542	B.1.1.359	0	2020-11-30	0	0.000558272836640879
543	B.1.1.360	0	2020-04-17	0	0.00217514847599762
544	B.1.1.361	0	2020-06-08	0	0.000684460738124483
545	B.1.1.362	0	2020-11-13	0	0.000684460738124483
546	B.1.1.363	0	2020-05-26	0	0.00219197080315512
547	B.1.1.364	0	2020-08-02	0	0.000684460738124483
548	B.1.1.365	0	2020-06-16	0	0.00217514847599762
549	B.1.1.366	0	2020-05-21	0	0.000684460738124483
551	B.1.1.368	0	2021-01-20	0	-0.00194480584142695
552	B.1.1.369	0	2020-06-16	0	0.000684460738124483
553	B.1.1.37	0	2020-09-10	0	0.000684460738124483
554	B.1.1.370	0	2020-07-07	0	0.000701704437881177
555	B.1.1.371	0	2020-12-04	0	0.00198435961853247
556	B.1.1.372	0	2020-05-12	0	0.000684460738124483
557	B.1.1.373	0	2020-08-17	0	0.000684460738124483
558	B.1.1.374	0.1431	2021-03-15	0.002	-0.00721953014267822
559	B.1.1.375	0.0672	2020-11-04	0.001	-0.0134654668829635
560	B.1.1.376	0	2021-04-13	0	0.000684460738124483
561	B.1.1.377	0	2021-01-25	0	0.00061765997368175
562	B.1.1.378	0	2021-01-13	0	0.0006164877646208
563	B.1.1.379	0	2020-05-21	0	0.00217514847599762
564	B.1.1.38	0	2020-06-12	0	0.000684460738124483
565	B.1.1.380	0	2020-06-30	0	0.000684460738124483
566	B.1.1.381	0	2020-12-13	0	0.000718358456906632
567	B.1.1.382	0	2020-10-09	0	0.000493671880659327
568	B.1.1.383	0	2020-05-20	0	0.000684460738124483
569	B.1.1.384	0.0478	2020-12-28	7e-04	0.00274001190663828
570	B.1.1.385	0	2021-02-06	0	7.81240152372403e-05
571	B.1.1.386	0	2021-01-04	0	0.000684460738124483
572	B.1.1.387	0	2020-09-17	0	0.000684460738124483
573	B.1.1.388	0	2020-12-08	0	0.000684460738124483
574	B.1.1.389	0	2020-12-21	0	0.000718358456906632
575	B.1.1.39	0	2020-12-08	0	0.000742869189260233
576	B.1.1.391	0	2021-01-19	0	7.81240152372403e-05
577	B.1.1.392	0	2020-11-05	0	0.000684460738124483
578	B.1.1.393	-0.797	2021-01-08	-0.001	-0.000128729966782902
579	B.1.1.394	0	2020-08-25	0	0.00104836466259665
580	B.1.1.395	0	2020-05-01	0	0.000684460738124483
581	B.1.1.396	0	2020-08-04	0	0.000726771876993654
582	B.1.1.397	0	2020-10-19	0	0.000684460738124483
583	B.1.1.398	0	2021-02-22	0	-0.00110139666157131
584	B.1.1.399	0	2020-05-10	0	0.000633697375746607
585	B.1.1.4	0	2020-08-11	0	0.000684460738124483
586	B.1.1.40	0	2020-07-16	0	0.000589066309391905
587	B.1.1.400	0	2020-04-20	0	0.000684460738124483
588	B.1.1.401	0	2020-06-08	0	0.000684460738124483
589	B.1.1.402	0	2020-06-24	0	0.000684460738124483
590	B.1.1.403	0	2020-10-05	0	0.000684460738124483
591	B.1.1.404	0	2020-11-04	0	0.000684460738124483
592	B.1.1.405	0	2020-10-16	0	0.000684460738124483
593	B.1.1.406	0	2020-07-30	0	-0.00202448058626185
594	B.1.1.407	0	2020-09-13	0	0.000684460738124483
595	B.1.1.408	0	2020-07-12	0	0.000684460738124483
596	B.1.1.409	-0.6783	2020-08-03	-0.0093	-0.0493366684884822
597	B.1.1.41	0	2020-04-09	0	0.000684460738124483
598	B.1.1.410	0	2020-07-01	0	0.000684460738124483
600	B.1.1.412	0	2020-07-14	0	0.000684460738124483
601	B.1.1.413	0.0672	2021-01-13	0.001	-0.0126859147712021
602	B.1.1.414	0	2020-09-11	0	0.000663717659855884
603	B.1.1.415	0	2021-01-02	0	0.000684460738124483
604	B.1.1.416	0	2020-12-02	0	0.000684460738124483
605	B.1.1.417	0	2020-11-11	0	0.000972789934029394
606	B.1.1.418	0	2021-01-27	0	0.000670949827241617
607	B.1.1.419	0	2020-03-30	0	0.000684460738124483
608	B.1.1.420	-0.7015	2021-03-16	-7e-04	-0.00972754813951258
609	B.1.1.421	0	2020-06-01	0	0.000433324167130835
611	B.1.1.423	0	2020-12-04	0	0.00113214360197991
613	B.1.1.425	0	2020-11-02	0	0.00119878894958959
614	B.1.1.426	0	2020-06-23	0	0.000684460738124483
615	B.1.1.427	0	2020-09-25	0	0.000684460738124483
616	B.1.1.428	0	2021-02-23	0	0.000684460738124483
617	B.1.1.429	0	2020-10-01	0	0.000982994998578352
618	B.1.1.43	0	2020-04-21	0	0.000684460738124483
620	B.1.1.431	0	2020-09-28	0	0.000684460738124483
621	B.1.1.432	0	2021-02-11	0	0.000684460738124483
622	B.1.1.433	-0.7773	2021-02-01	-0.012	-0.00754833257188865
623	B.1.1.434	0	2021-02-20	0	0.000684460738124483
624	B.1.1.435	0	2020-12-27	0	0.000684460738124483
625	B.1.1.436	0	2020-03-28	0	0.000684460738124483
626	B.1.1.437	0	2021-07-17	0	0.000684460738124483
627	B.1.1.438	0	2020-04-14	0	0.000684460738124483
629	B.1.1.440	0	2020-06-24	0	0.000684460738124483
630	B.1.1.441	0	2020-07-10	0	0.000395169882485585
631	B.1.1.442	0	2020-05-24	0	0.000684460738124483
632	B.1.1.444	0	2020-07-27	0	0.000607601860154947
633	B.1.1.445	0.0672	2021-01-03	0.001	-0.0128154767352733
634	B.1.1.446	0	2020-08-15	0	0.000726771876993654
635	B.1.1.447	0	2020-05-29	0	0.000684460738124483
636	B.1.1.448	0	2020-09-05	0	0.000684460738124483
637	B.1.1.449	0	2020-09-05	0	0.000764346140306774
638	B.1.1.45	0	2020-06-07	0	0.000684460738124483
639	B.1.1.450	0	2020-12-09	0	0.000684460738124483
640	B.1.1.451	0	2020-10-11	0	0.000628792615985484
641	B.1.1.452	0	2020-09-16	0	0.000726771876993654
642	B.1.1.453	0	2020-12-17	0	0.000684460738124483
643	B.1.1.456	0.0354	2020-11-05	0	0.00436460841090167
644	B.1.1.458	0	2020-06-24	0	0.000684460738124483
645	B.1.1.459	0	2020-07-30	0	0.000684460738124483
646	B.1.1.46	0	2021-01-07	0	-0.000969085010058939
647	B.1.1.461	0	2020-11-16	0	-0.00208629669425182
648	B.1.1.462	0	2020-04-28	0	0.00070839671771224
649	B.1.1.463	0	2020-08-02	0	0.000684460738124483
650	B.1.1.464	0	2020-09-29	0	0.000684460738124483
651	B.1.1.465	0	2020-04-24	0	0.000684460738124483
652	B.1.1.466	0	2020-07-27	0	0.000464765870255452
653	B.1.1.467	0	2020-11-02	0	0.000684460738124483
654	B.1.1.47	0	2020-10-09	0	0.000684460738124483
655	B.1.1.48	0	2020-04-04	0	0.000684460738124483
656	B.1.1.480	0	2020-05-22	0	0.000686686361062285
657	B.1.1.481	0	2020-09-06	0	0.000684460738124483
658	B.1.1.482	0	2020-04-18	0	0.000979591963608199
659	B.1.1.483	0	2020-12-21	0	0.000768893748762168
660	B.1.1.484	0	2020-06-01	0	0.000716745565305701
661	B.1.1.485	0	2020-05-23	0	-0.000251903073986023
662	B.1.1.486	0	2020-12-19	0	0.000298902029821653
664	B.1.1.49	0	2020-04-09	0	0.000684460738124483
665	B.1.1.5	0	2020-12-09	0	0.00107087469069634
666	B.1.1.50	0	2020-12-29	0	0.000684460738124483
667	B.1.1.500	0	2020-12-26	0	0.000550313754866613
